position,company,reviews,location,roles,python,r,sas,oracle,java,sql,dataviz,statistics,excel,business_intelligence,communication,machine_learning,teamwork
equipment maintenance technician iv - (663302),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
"telemetry, tracking, and command / communications project engineer i (662483)",ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
technician iv-test - program operations (663418) security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
principal spacecraft lead (664011),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
spacecraft communications subsystem engineer i (663460),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
technical specialist - optical test lab (663332),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
lead software engineer,university of colorado,718.0,"boulder, co",different_field,False,True,False,True,True,True,False,False,False,False,False,False,False
engineer i-mission systems analyst (663514),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,True
engineer ii - space systems (664072),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
engineer ii-thermal (664197) security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
engineer ii-manufacturing (663430),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
prototype machinist - 2nd shift (664067),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
principal technical specialist- mechanical (663887),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
engineering aide iii - mission & process analytics (662883),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
structural engineer ii (663566),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
technical specialist associate-test - program operations (663436) security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
embedded software engineer ii - labview (663924),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,True,False,False,False,False,True,False,False
engineer i - configuration management (663742),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,True
optical technician iii (663385),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
information systems security engineer (663060),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
technician iii-test - rf system integration (663409),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
senior material planner (662343),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
technical specialist principal-test - program operations (663454),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
space telescope operations senior engineer (664143),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
engineer ii-systems test (663486),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
technician ii-test (660965) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
senior technical specialist-mechanical (663898),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
senior engineer - electro-optical payload systems (664057),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior electrical instrument systems engineer (660634),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
principal engineer-electro-optical payload systems (664094),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
engineer i-mission systems engineer (systems operability) (659949) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
spacecraft requirements & verification systems-senior engineer (664045),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior engineer-mission system integration (664159),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
engineer ii-doors administrator (662456) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,True,False,False,False,False,False,True,False,False
senior engineer-system allocation and verification (662816),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
mechanical engineering manager ii-process & tools (663725),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
spacecraft engineering manager ii - business development lead (662729),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
senior embedded software engineer - labview (664117),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,True,False,False,False,False,True,False,False
sr. satellite ground software engineer (663828),ball aerospace,108.0,"boulder, co",different_field,True,True,False,False,True,False,False,False,False,False,True,False,False
detector engineering systems engineer (663687),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
systems assurance reliability engineer ii (661099),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
technical specialist ii-test - program operations (663440) security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
senior technical specialist - optical (663536),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior test technician (660966) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
optical engineer ii (663865),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior technical specialist-test - program operations (663444),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
engineer i-systems test: attitude determination & control systems (663459),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
principal engineer-space systems (662730),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
project engineer ii - mission assurance manager (662667),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
principal pwb designer- full time temporary (663684),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
facilities electrician-hvac maintenance specialist iii (661296),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
engineer ii-system allocation & verification (663537),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
sr. engineer - detector engineering (663761),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
systems assurance parts engineer ii (661777),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior engineer - space systems (660320),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior embedded software engineer (664186),ball aerospace,108.0,"boulder, co",different_field,True,True,False,False,False,False,False,False,False,False,True,False,False
engineering aide i-systems integration & test engineering (664232),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
staff consultant-mission system integration (663980) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
engineer ii - electromagnetic compliance engineer (663783),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
technical specialist principal-test - program operations (663455) security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
principal engineer-systems test (663690),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
principal engineer-space systems simulators (663330),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
engineer senior-software quality assurance (663353),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
senior algorithm & analysis software engineer (663685),ball aerospace,108.0,"boulder, co",different_field,True,True,False,False,False,True,False,False,False,False,True,True,False
satellite ground software engineer ii (663854) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,True,True,False,False,True,False,False,False,False,False,True,False,False
engineer i-mission systems analyst (662222) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,True
engineer senior-manufacturing (663882),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
electrical engineer ii-spacecraft command & data handling (663671) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
sr. optical engineer (664163),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior engineer-spacecraft lead (664006),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
senior engineer-space systems simulators (663331),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior structural engineer (663564),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
senior technical specialist-test - program operations (663446) security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
principal engineer-space vehicle lead (663998),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
cyber security professional ii (661903) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,True,False,False,False,False,False,False,False,False,False,False
principal systems assurance reliability engineer (661774),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
principal systems assurance parts engineer (661776),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
principal systems assurance radiation effects engineer (661768),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
engineer ii-instrument systems engineer (663131),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
principal embedded software engineer - labview (664114) security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,True,False,False,False,False,True,False,False
"project engineer ii-mechanical, new business lead (663390)",ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
detector engineering systems engineer (663686) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
telemetry tracking & command/communications project engineer ii (662650) - security clearance requir,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
spacecraft systems engineer ii (662929) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
"telemetry, tracking & command/command & data handling subsystem senior engineer (662726) - security",ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
principal engineer-mission system integration (664158),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
spacecraft requirements & verification systems-principal engineer (664043),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior system safety engineer (663665),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior electrical engineer-spacecraft command & data handling (663675) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
electrical engineer ii - analog and power supply design (662638),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
senior spacecraft structures design engineer (661398) - current security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
senior structural engineer - electronics (662505),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
engineer i-electrical system integration & test (663878),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
engineer ii-system allocation & verification (663538) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
senior engineer-thermal (663471) security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
principal engineer - space systems (662797) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
"engineer ii-guidance, navigation & control (gn c ) - security clearance required (663366)",ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
project engineer i - systems integration & test (661529) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,True
principal engineer-space vehicle lead (664058) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
spacecraft systems senior engineer (662923) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
senior embedded software engineer (663660) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,True,True,False,False,False,False,False,False,False,False,True,False,False
principal optical engineer (663219) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
"engineer ii-materials & processes development lab, thermal analysis engineer (663328)",ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
senior electrical project engineer (663157),ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
principal engineer-systems test (662774) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
senior engineer-spacecraft lead (664005) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
senior ground systems engineer (661989) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
spacecraft communications subsystem principal engineer (663472) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
senior engineer-system allocation & verification (663036) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
telecom system principal engineer (664008) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior structural engineer (663565) security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
principal satellite ground systems engineer (663858) - security clearance required,ball aerospace,108.0,"boulder, co",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
marketing information analytics coordinator,vhb,22.0,"boston, ma 02110",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
erp implementation specialist,lovepop,2.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
associate research analyst,harvard pilgrim health care,61.0,"boston, ma",different_field,False,True,True,False,False,True,False,False,True,False,False,False,False
senior scientist/data analytics/applied pro,pharmerit international,5.0,"boston, ma",data_analyst,False,True,True,False,False,False,False,False,True,False,False,False,False
"energy efficiency specialist, cambridge, ma",icf,392.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
associate principal scientist - neuroscience (boston),merck,2988.0,"boston, ma",different_field,False,True,False,False,False,False,False,True,True,False,True,False,False
computational biologist i,dana-farber cancer institute,248.0,"boston, ma",different_field,True,True,False,False,False,True,False,True,True,False,False,False,False
medical technician,massachusetts general hospital(mgh),838.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
data engineer,partners healthcare(phs),337.0,"boston, ma",data_engineer,True,True,False,False,False,True,False,False,True,False,False,True,True
"data scientist, artificial intelligence engineer",darwin recruitment,5.0,"boston, ma",data_scientist,True,True,False,False,True,True,False,False,False,False,False,True,False
principal data scientist - quantumblack,mckinsey & company,385.0,"boston, ma",data_scientist,True,True,False,False,False,False,False,True,False,False,True,True,False
"postdoctoral associate, questrom school of business, college of communications, and center for behavioral sciences research, social innovation on drug resistance (sidr) program",boston university,299.0,"boston, ma",different_field,True,True,False,False,False,True,False,False,False,False,True,False,False
tax services senior analyst – national tax – fiduciary trust tax services – research & technical writing - boston,ey,5356.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
"vice president/ director, data and analysis",digitaslbi,151.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
"research data analyst, school of public health, health policy & management",boston university,299.0,"boston, ma",data_analyst,False,True,False,False,False,False,False,False,False,False,False,False,False
medical director/sr medical director - neurologist (epilepsy),takeda pharmaceutical,530.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
senior medical director - gi/immunology (clinical development),takeda pharmaceutical,530.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
converse lead data scientist,nike,415.0,"boston, ma",data_scientist,True,True,False,False,False,False,True,True,False,True,False,True,False
"senior data scientist, product performance analytics",wayfair,344.0,"boston, ma 02116",data_scientist,True,True,False,False,False,True,False,True,False,False,True,False,False
dmp / personalization manager – data & analysis,digitaslbi,151.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,True,False,True,True,False
senior data scientist,tessella,2.0,"boston, ma",data_scientist,True,True,False,False,False,False,False,True,True,False,True,True,False
"statistical data manager, school of medicine, psychiatry",boston university,299.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
lead data scientist,bose,670.0,"boston, ma",data_scientist,True,True,False,False,False,True,False,True,True,False,True,True,False
research analyst,mfs investment management,88.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
private equity research analyst,citi,14094.0,"boston, ma 02298",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
environmental analyst i - regulatory and translational scientist,commonwealth of massachusetts,337.0,"boston, ma",different_field,False,True,True,False,False,False,False,False,True,False,False,False,False
computer analyst,howard hughes medical institute,82.0,"boston, ma",different_field,True,True,False,False,True,False,False,True,True,False,True,False,False
research data management analyst,harvard university,574.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
data analyst ii - research - kenmore,atrius health,290.0,"boston, ma",data_analyst,False,True,False,False,False,False,False,True,True,False,True,False,False
curriculum developer - datarobot university,datarobot,2.0,"boston, ma 02109",different_field,False,True,False,False,False,False,False,False,True,False,True,True,False
data scientist,thomson reuters,2870.0,"boston, ma 02210",data_scientist,True,True,False,False,True,True,True,False,False,False,False,True,False
computational geometry scientist,general electric,292.0,"boston, ma 02212",different_field,True,True,False,False,True,True,False,False,True,False,False,False,False
senior data scientist,darwin recruitment,5.0,"boston, ma",data_scientist,False,True,False,False,False,False,False,False,True,False,True,True,False
"senior analyst, data and analysis",digitaslbi,151.0,"boston, ma",different_field,False,True,False,False,False,True,False,False,True,False,False,False,False
research analyst,harvard pilgrim health care,61.0,"boston, ma",different_field,False,True,True,False,False,False,False,False,True,False,True,False,False
senior data scientist,workbridge associates,40.0,"boston, ma",data_scientist,True,True,False,False,True,True,False,False,False,False,False,False,False
data engineer,vertex pharmaceuticals,179.0,"boston, ma 02110",data_engineer,True,True,False,False,True,True,False,False,False,False,True,False,False
data engineer,vertex,240.0,"boston, ma 02114",data_engineer,True,True,False,False,True,True,False,False,False,False,True,False,False
clinical research specialist i - data analysis,boston children's hospital,357.0,"boston, ma",data_analyst,False,True,False,False,False,False,False,False,False,False,True,False,False
municipal bond research analyst,john hancock,376.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
research scientist - natural language processing,amazon.com,25902.0,"boston, ma",different_field,True,True,False,False,False,False,False,True,False,False,False,True,False
municipal bond research analyst,manulife,184.0,"boston, ma 02212",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
research scientist,massachusetts general hospital(mgh),838.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
wells fargo securities - equity research associate analyst - restaurants,wells fargo,27992.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
machine learning scientist,partners healthcare(phs),337.0,"boston, ma",machine_learning_engineer,True,True,False,False,False,True,False,True,True,False,False,True,True
machine learning engineer,pluralsight,8.0,"boston, ma",machine_learning_engineer,True,True,False,False,False,True,False,True,False,False,False,True,False
data science specialist,sapient global markets,39.0,"boston, ma",data_scientist,True,True,True,False,False,False,False,True,False,False,True,True,False
municipal bond research analyst,manulife financial,359.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
research technician,massachusetts general hospital(mgh),838.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
"sr. vice president, data analytics",unitedhealth group,12170.0,"boston, ma 02298",data_analyst,True,True,False,False,False,False,True,True,True,False,False,True,False
"manager, data and analysis",digitaslbi,151.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
sr scientist,dana-farber cancer institute,248.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
data engineer,manulife financial,359.0,"boston, ma",data_engineer,True,True,True,False,True,True,False,False,False,True,True,False,False
user experience designer - alexa data services,amazon.com,25902.0,"boston, ma",different_field,False,True,False,False,True,False,False,False,False,False,True,True,False
"data scientist, natural language processing",darwin recruitment,5.0,"boston, ma",data_scientist,False,True,False,False,False,False,False,True,True,False,True,True,False
senior data analytics expert,enernoc,41.0,"boston, ma",data_analyst,True,True,True,False,False,True,False,True,True,False,False,False,False
data scientist or senior data scientist - finance advanced analytics,liberty mutual,2640.0,"boston, ma",data_scientist,True,True,True,False,False,True,False,True,True,False,True,True,True
"operations analyst, product performance analytics",wayfair,344.0,"boston, ma 02116",different_field,True,True,False,False,False,True,False,True,False,False,True,False,False
machine learning engineer,spotify,33.0,"boston, ma",machine_learning_engineer,True,True,False,False,True,False,False,False,False,False,False,True,False
operations research scientist,wayfair,344.0,"boston, ma 02116",different_field,True,True,False,False,True,True,False,True,False,False,True,False,False
solution engineer,tetrascience,2.0,"boston, ma",different_field,True,True,False,False,True,False,False,False,True,False,True,False,False
bioinformatian ii,boston children's hospital,357.0,"boston, ma",different_field,True,True,False,False,False,True,False,True,False,False,True,False,False
business specialist / 40 hours / evenings - bwh emergency department,brigham & women's hospital(bwh),785.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
senior data analytics expert,enel green power north america,15.0,"boston, ma",data_analyst,True,True,True,False,False,True,False,True,True,False,False,False,False
quantitative researcher- machine learning,akuna capital,6.0,"boston, ma",machine_learning_engineer,True,True,False,False,False,False,False,True,False,False,False,True,False
client quantitative analyst ii,bank of america,21952.0,"boston, ma 02110",different_field,True,True,True,False,False,True,False,True,True,False,False,False,False
biostatistician i,harvard university,574.0,"boston, ma",different_field,False,True,True,False,False,False,False,True,True,False,True,False,False
data engineer,manulife,184.0,"boston, ma 02212",data_engineer,True,True,True,False,True,True,False,False,False,True,True,False,False
"sales operations, deal desk, boston, ma",autodesk,315.0,"boston, ma 02111",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
it big data engineer,unitedhealth group,12170.0,"boston, ma 02298",data_engineer,True,True,False,False,True,False,False,False,False,False,True,False,False
mundos and pac neuropsychology technician,massachusetts general hospital(mgh),838.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior recruiter - machine learning & artificial intelligence,wayfair,344.0,"boston, ma 02116",machine_learning_engineer,False,True,False,False,False,False,False,False,True,False,True,True,False
motion planning research scientist,aptiv,41.0,"boston, ma",different_field,True,True,False,False,False,False,False,False,True,False,False,False,False
data engineer,john hancock,376.0,"boston, ma",data_engineer,True,True,True,False,True,True,False,False,False,True,True,False,False
research scientist parallel medicinal chemistry,vertex pharmaceuticals,179.0,"boston, ma 02110",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
market research analyst,"jenzabar, inc",6.0,"boston, ma 02199",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
"fundamental research analyst, strategic advisers, llc",fidelity investments,2906.0,"boston, ma",different_field,False,True,False,False,False,False,False,True,True,False,False,False,False
"analyst, forecasting & capacity modeling",wayfair,344.0,"boston, ma 02116",different_field,True,True,False,False,False,True,True,True,True,False,True,False,False
"scientist biology, metabolic complications, cardiovascular & metabolism discovery (1 of 2)",johnson & johnson family of companies,3327.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
"research scientist - amazon web services - boston, ma",amazon.com,25902.0,"boston, ma",different_field,True,True,False,False,True,True,False,False,True,False,True,False,False
securitized research analyst,bny mellon,3254.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
research scientist functional genomics,vertex pharmaceuticals,179.0,"boston, ma 02110",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
machine learning engineer,twitter,56.0,"boston, ma",machine_learning_engineer,True,True,False,False,True,False,False,False,False,False,False,True,False
"coe lead, data science and engineering",xl catlin,73.0,"boston, ma",data_scientist,False,True,False,False,False,True,True,True,True,False,True,False,False
research scientist functional genomics,vertex,240.0,"boston, ma 02114",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
data ingestion engineer - data modeler,massmutual,786.0,"boston, ma 02298",different_field,True,True,False,False,True,True,False,False,False,False,True,True,False
research scientist parallel medicinal chemistry,vertex,240.0,"boston, ma 02114",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
supply chain data science consultant,accenture,14200.0,"boston, ma",data_scientist,True,True,True,False,False,True,False,True,True,False,True,True,False
"associate director, lead data scientist",s&p global ratings,606.0,"boston, ma 02110",data_scientist,True,True,False,False,True,True,False,False,False,False,False,True,False
supply chain data science manager,accenture,14200.0,"boston, ma",data_scientist,True,True,True,False,False,True,False,True,True,False,True,False,False
research analyst iii,commonwealth of massachusetts,337.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
senior data scientist / python developer,winterwyman,30.0,"boston, ma 02111",data_scientist,True,True,False,False,False,False,False,False,False,False,True,True,False
market research and sales analyst,year up,106.0,"boston, ma",different_field,False,True,False,False,False,False,False,True,True,False,False,False,False
bioinformaticist,massachusetts eye and ear infirmary,145.0,"boston, ma",different_field,False,True,True,False,False,False,False,False,False,False,False,False,False
"scientist ii, cyber",air worldwide,17.0,"boston, ma 02116",different_field,True,True,False,False,False,True,False,True,False,False,False,False,False
"scientist, seismology",air worldwide,17.0,"boston, ma 02116",different_field,True,True,False,False,False,False,False,False,False,False,True,False,False
engineer- pricing & profitability algorithms,wayfair,344.0,"boston, ma 02116",different_field,True,True,False,False,False,True,False,False,False,False,False,False,False
research scientist,vertex,240.0,"boston, ma 02114",different_field,True,True,False,False,False,False,False,True,True,False,True,False,False
language engineer,amazon.com,25902.0,"boston, ma",different_field,True,True,False,False,False,True,False,False,True,False,True,True,False
"product insights manager, user engagement",spotify,33.0,"boston, ma",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
science reporter,northeastern university,367.0,"boston, ma",different_field,False,True,False,False,False,False,True,False,True,False,False,False,False
path and motion planning scientist,general electric,292.0,"boston, ma 02212",different_field,True,True,False,False,True,False,False,False,True,False,False,False,False
big data application developer,audley travel,3.0,"boston, ma 02114",different_field,False,True,False,False,True,True,False,False,False,False,True,False,False
research scientist,vertex pharmaceuticals,179.0,"boston, ma 02110",different_field,True,True,False,False,False,False,False,True,True,False,True,False,False
senior scientist/chart review,pharmerit international,5.0,"boston, ma",different_field,False,True,True,False,False,False,False,False,True,False,False,False,False
